idx,cluster_id,baseline_name,as_count,n_orgs,n_subsumed_asint,orgs,verdict,wrong_asns,notes
1,ap76,,977,3,3,dod network information center:973 | ukrainian backbone networks llc:3 | whnet telecom serviã§os de telecomunicaã§oes ltda:1,partial,4,DoD anchor (973); Ukrainian Backbone + WHNET Brazil unrelated
2,ap24,,395,8,3,air force systems networking:237 | centurylink communications llc:92 | level 3 parent llc:40 | dxc us latin america corporation:17 | idt corporation:5 | camara colombiana de informatica y telecomunicaciones ccit:2 | university of california at berkeley:1 | region stockholm:1,partial,100,Air Force (237) + Lumen (132) anchors; DXC/IDT/CCIT/Berkeley/Stockholm + cross-merges
3,ap680,,292,2,2,headquarters usaisc:290 | nocix llc:2,partial,2,Headquarters USAISC (290) anchor; NOCIX unrelated
4,ap94,,118,2,1,"jsc ""er-telecom holding"":117 | software partners inc:1",partial,1,ER-Telecom (117) anchor; Software Partners unrelated
5,ap753,,102,2,2,u s sprint:101 | h3000 tecnologia:1,partial,1,U.S. Sprint (101) anchor; H3000 Tecnologia unrelated
6,ap10,,48,5,1,gtt americas llc:19 | gtt communications inc:16 | gtt - emea ltd:11 | easynet global services:1 | i-2000 inc:1,partial,1,GTT group + Easynet (acq); I-2000 unrelated
7,ap66,,27,7,6,ninja-ix corporation:14 | nix cz z s p o:4 | toronto internet exchange community:3 | dns-oarc:2 | ninja-ix services llc:2 | united-ix:1 | tom laermans:1,partial,11,Ninja-IX core (16) anchor; mixed IXP communities (NIX CZ/Toronto IX/DNS-OARC) unrelated
8,ap128,,23,5,3,rice university:13 | infonet services corporation:7 | carnegie mellon university:1 | emerging markets telecommunication services (emts) limited:1 | hybula b v:1,partial,10,Rice University (13) anchor; Infonet/Carnegie/EMTS/Hybula unrelated
9,ap157,,21,5,1,megaport (usa) inc:8 | megaport pty ltd:6 | information system authority:3 | megaport (deutschland) gmbh:3 | informatica bluehosting limitada:1,partial,4,Megaport global (17) anchor; Information System Authority + Bluehosting unrelated
10,ap316,,20,5,2,think on inc:12 | adobe inc:4 | manitoba hydro international ltd:2 | adobe systems inc:1 | web side story inc:1,partial,8,ThinkOn (12) anchor; Adobe + Manitoba Hydro + Web Side Story unrelated subgroups
