idx,cluster_id,baseline_name,as_count,n_orgs,n_subsumed_asint,orgs,verdict,wrong_asns,notes
1,"org_@aut-AS132147-APNIC,org_@aut-AS132153-APNIC,org_@aut-AS59223-APNIC,org_ORG-CT1-AP,org_ORG-OA28-AP",Ozcare,283,2,1,china telecom:282 | ozcare:1,partial,1,China Telecom (282) anchor; Ozcare unrelated
2,"org_@aut-272394-LACNIC,org_@aut-272395-LACNIC,org_@aut-27468...",United SA,100,23,8,de-cix management gmbh:39 | de-cix north america inc:11 | telx:9 | de cix malaysia sdn bhd:6 | de-cix asia pte ltd:4 | de-cix brasil ltda:4 | digital realty (uk) limited:3 | interxion headquarters b v:3 | de-cix interconnection mexico s de r l de c v:2 | de-cix singapore pte ltd:2 | medallion communications:2 | digital realty hellas single member s a:2 | united sa:2 | af-cix limited:2 | digital frankfurt gmbh:1 | interxion hrvatska d o o:1 | arab commission for satellite broadcasting:1 | digital hk kin chuen limited:1 | digital singapore 2 pte ltd:1 | digital realty netherlands b v:1 | ?:1 | mc digital realty inc:1 | digital realty korea ltd:1,wrong,9,IXP+DC merge: DE-CIX (68) + Digital Realty/Telx/Interxion (24) + Medallion (2) + AF-CIX (2) + United SA (2) multi-AS subgroups; 9 unrelated singletons/small disjoint
3,"org_ARINOPS,org_NNICN-1",ARIN Operations,91,2,2,navy network information center (nnic):85 | arin operations:6,partial,4,Navy NNIC (85) anchor; ARIN Operations partial
4,"org_GONE,org_ORG-EI3-AP,org_ORG-ENSI1-RIPE,org_ORG-FT2-RIPE,org_ORG-GO2-RIPE,org_ORG-GORC1-RIPE,org_ORG-JTC1-RIPE",Equant Inc,80,7,1,orange s a:61 | equant inc:6 | global one:5 | orange business services u s inc:4 | orange business communications technology limited:2 | llc orange business services:1 | jordan telecommunications psc:1,partial,1,Orange group; Jordan Telecommunications (Orange minority stake)
5,"org_@aut-AS138276-APNIC,org_BAL-131,org_CC-4464,org_ORG-APSP...",GONETWAY,74,37,3,cs loxinfo public company limited:26 | pacific internet pte ltd:8 | terago networks inc:5 | ?:2 | apple wealth securities:1 | dn broadcast co ltd:1 | itone (the siam cement group):1 | thai reinsurance public co ltd:1 | cassia county:1 | classic gold futers co ltd:1 | thai summit autopart industry co ltd:1 | interlink communication pcl:1 | gonetway:1 | kotbari online:1 | liam jordan:1 | siam city cement public company limited (sccc):1 | zoyar inc:1 | asia plus securities public company limited:1 | muang thai life assurance co ltd:1 | ktb securities (thailand) company limited:1 | chiva-som international:1 | razu media llc:1 | hi-tech nittsu (thailand) co ltd:1 | kpn award:1 | afreenet sa:1,wrong,15,"Transitive sprawl: CS Loxinfo (26) + Pacific Internet (8) + TeraGo (5) multi-AS subgroups + ?(2); ~15 clearly disjoint singletons (Apple Wealth Securities, BD Networks, Blue Ant, Cassia County, AFREENET, etc.)"
6,"org_ORG-ATL19-AP,org_ORG-SAPL7-AP,org_ORG-VPL1-AP",VOCUS PTY LTD,62,2,1,vocus pty ltd:53 | servers australia pty ltd:9,partial,6,Vocus (53) anchor; Servers Australia partial overlap
7,"org_NTTAM-1,org_ORG-VCI1-RIPE,org_ORG-VIPL3-AP,org_ORG-VNS2-RIPE,org_VRTL","NTT America, Inc.",59,4,4,ntt america inc:30 | ntt global networks incorporated:21 | ntt global networks private limited:7 | prime telecom srl:1,partial,1,NTT America + NTT Global Networks; Prime Telecom SRL unrelated
8,"org_ORG-CSS55-RIPE,org_ORG-SIS76-RIPE",SC ITNS.NET SRL,56,2,2,contrust solutions s r l:34 | sc itns net srl:22,correct,0,Contrust + SC ITNS Net — Romanian group
9,"org_@aut-AS131152-jpnic,org_@aut-AS146978-APNIC,org_@aut-AS146978-jpnic,org_@aut-AS150355-APNIC,org_@aut-AS150355-jpnic,org_@aut-AS151384-APNIC,org_@aut-AS151384-jpnic,org_@aut-AS23640-APNIC,org_@aut-AS23640-jpnic,org_@aut-AS2915-APNIC,org_@aut-AS2915-jpnic,org_@aut-AS37904-APNIC,org_@aut-AS37904-jpnic,org_@aut-AS9609-jpnic,org_BU-231,org_ORG-BCL12-AP,org_ORG-BEB3-RIPE,org_ORG-BHKP1-AP,org_ORG-BI12-AP,org_ORG-BSPL4-AP,org_ORG-CA128-AP,org_ORG-CBPS1-AP,org_ORG-CMP1-AP,org_ORG-CUP1-AP,org_ORG-DABC1-AP,org_ORG-HGSL3-AP,org_ORG-II1-AP,org_ORG-JLS1-AP,org_ORG-OAB1-AP,org_ORG-PLDT1-AP,org_ORG-QA14-AP,org_ORG-SPC1-AP,org_ORG-SRC1-AP,org_ORG-TA108-AP,org_ORG-TM5-AP,org_ORG-TRLA1-AP,org_ORG-TRLE1-AP",TaskUs,55,9,2,philippine long distance telephone co:29 | bbix inc:8 | bbix usa inc:6 | bbix europe b v:5 | infinivan incorporated:3 | bbix hong kong pte limited:1 | bbix singapore pte ltd:1 | bbix (thailand) company limited:1 | st joseph cable tv system:1,partial,5,PLDT (29) + BBIX subgroup; some external
10,"org_ORG-AGEP1-AP,org_ORG-HNPL6-AP,org_ORG-NOPL2-AP,org_ORG-SPL2-AP,org_ORG-SPL74-AP,org_ORG-SPL75-AP,org_ORG-VEPL1-AP",VostroNet,52,4,2,superloop (australia) pty ltd:27 | 5g network operations pty ltd:18 | ncs au pty ltd:4 | vostronet:3,partial,4,Superloop + 5G + VostroNet (Superloop brands); NCS AU unrelated
