org_1,org_2,type,infer,correct
telefonica de argentina,telefã³nica mã³viles argentina s a (movistar argentina),alias,alias,yes
hutchison international limited,pt indosat tbk,alias,alias,yes
china telecom,china telecom (americas) corporation,alias,alias,yes
vodafone,vodafone ltd,alias,alias,yes
mercedes-benz polska sp z o o,mercedes-benz usa llc,alias,alias,yes
rai radiotelevisione italiana,"television company ""rai"" llc",alias,alias,no
jehovas zeugen in deutschland k d o r,watchtower bible and tract society of south africa,alias,alias,yes
magna automotive holding gmbh,magna international inc,alias,alias,yes
watch tower bible and tract society of korea,watchtower bible and tract society of new york inc,alias,alias,yes
guidewire software (ireland) limited,guidewire software inc,alias,alias,yes
giga net informatica ltda,giga net informatica ltda me,alias,alias,yes
nathan moore,noah van der aa trading as frumentum media,alias,alias,no
all for one customer experience gmbh,all for one poland sp z o o,alias,alias,yes
iress market technology canada lp,iress market technology ltd,alias,alias,yes
cisco webex llc,webex worldwide b v,alias,alias,yes
nokian renkaat oyj,nokian tyres ltd,alias,alias,yes
smile communication drc,smile communications nigeria,alias,alias,yes
edgecast inc,edgio inc,alias,alias,yes
charter communications inc,charter communications llc,alias,alias,yes
pt media sarana akses,pt media sarana data,alias,alias,yes
digital hk kin chuen limited,digital singapore 2 pte ltd,alias,alias,yes
bytedance inc,tiktok pte ltd,alias,alias,yes
ip com ltd,ip-com llc,alias,alias,yes
american honda motor company inc,honda motor co ltd,alias,alias,yes
unicredit bank jsc,unicredit bank sa,alias,alias,yes
chinanet guizhou province network,chinanet hubei province xiantao network,alias,alias,yes
bain & company,bain and company inc united kingdom,alias,alias,yes
airbus defence and space as,airbus defence and space sas,alias,alias,yes
deloitte & touche ltda,deloitte & touche south africa,alias,alias,yes
ing bank n v,ing bank n v pobocka zahranicnej banky,alias,alias,yes
mynet,mynet s r l,alias,alias,yes
pelabuhan indonesia iv,pt pelabuhan indonesia ii,alias,alias,yes
securitas direct ab,securitas direct espana s a u,alias,alias,yes
seznam cz a s,seznam cz datova centra s r o,alias,alias,yes
at & t,at&t network systems,alias,alias,yes
orange business digital sweden ab,orange s a,alias,alias,yes
ministerstwo spraw wewnetrznych,ministerstwo spraw wewnetrznych i administracji,alias,alias,yes
pt palapa global nusantara,pt palapa network nusantara,alias,alias,yes
trinity health,trinity health corporation,alias,alias,yes
iron mountain data center,iron mountain inc,alias,alias,yes
orion telecom llc,orion telecomunicaã§ãµes comercio e serviã§os ltda,alias,alias,no
yahoo,yahoo-uk limited,alias,alias,yes
m247 europe srl,m247 ltd,alias,alias,yes
chinanet hubei province xianning network,chinanet yunnan province idc1 network,alias,alias,yes
ogilvy & mather advertising s r l,ogilvy gmbh,alias,alias,yes
globaltelehost corp,gthost,alias,alias,yes
ett sp z o o,eurotranstelecom ltd,alias,alias,yes
inovanet empreendimentos ltda,inovanet informatica e papelaria ltda - me,alias,alias,yes
digicel antilles francaises guyane,digicel antilles francaises guyane sa,alias,alias,yes
giga net informã¡tica ltda,pt giga digital nusantara,alias,alias,no
deutsche bank (suisse) sa,deutsche bank regional head office,alias,alias,yes
cable & wireless (barbados) limited,columbus communications curacao nv,alias,alias,yes
trivago hong kong limited,trivago n v,alias,alias,yes
datapipe europe ltd,datapipe inc,alias,alias,yes
ntt cloud communications us inc,ntt myanmar co ltd,alias,alias,yes
telia cygate oy,telia finland oyj,alias,alias,yes
chinanet sichuan province luzhou man network,chinanet sichuan province yaan man network,alias,alias,yes
netscout systems inc,netscout systems software india private limited,alias,alias,yes
wireless desenvolvimento de sistemas informatizada,wireless telecom group inc,alias,alias,no
orange business communications technology limited,orange business digital norway as,alias,alias,yes
international data corporation,international data group inc,alias,alias,yes
advanced knowledge networks,centrilogic inc,alias,alias,yes
avanti broadband ltd,avanti communications south africa (pty) ltd,alias,alias,yes
conselho da justica federal,justica federal de primeiro grau no parana,alias,alias,yes
xtom,xtom gmbh,alias,alias,yes
t rowe price,t rowe price associates inc,alias,alias,yes
digicel (aus) pty ltd,digicel trinidad and tobago ltd,alias,alias,yes
la torre del vigia a r,watchtower bible and tract society of south africa,alias,alias,yes
